time,country,size,is_holiday,days_to_next_holiday,days_since_last_holiday,business_days_in_month,lockdown
2016-03-11,BY,1,0,51,3,30,0.0
2016-03-11,HU,9,0,4,70,28,0.0
2016-03-11,MD,42,0,51,3,30,0.0
2016-03-11,PL,1,0,16,65,29,0.0
2016-03-11,RO,120,0,49,47,31,0.0
2016-03-11,SK,52,0,14,65,29,0.0
2016-03-11,UA,11,0,49,3,30,0.0
2016-03-12,BY,1,0,50,4,30,0.0
2016-03-12,HU,9,0,3,71,28,0.0
2016-03-12,MD,42,0,50,4,30,0.0
2016-03-12,PL,3,0,15,66,29,0.0
2016-03-12,RO,120,0,48,48,31,0.0
2016-03-12,SK,48,0,13,66,29,0.0
2016-03-12,UA,11,0,48,4,30,0.0
2016-03-13,BY,1,0,49,5,30,0.0
2016-03-13,HU,9,0,2,72,28,0.0
2016-03-13,MD,42,0,49,5,30,0.0
2016-03-13,PL,1,0,14,67,29,0.0
2016-03-13,RO,119,0,47,49,31,0.0
2016-03-13,SK,45,0,12,67,29,0.0
2016-03-13,UA,11,0,47,5,30,0.0
2016-03-14,BY,1,0,48,6,30,0.0
2016-03-14,HU,9,0,1,73,28,0.0
2016-03-14,MD,42,0,48,6,30,0.0
2016-03-14,PL,1,0,13,68,29,0.0
2016-03-14,RO,119,0,46,50,31,0.0
2016-03-14,SK,41,0,11,68,29,0.0
2016-03-14,UA,11,0,46,6,30,0.0
2016-03-15,BY,1,0,47,7,30,0.0
2016-03-15,HU,9,1,12,74,28,0.0
2016-03-15,MD,42,0,47,7,30,0.0
2016-03-15,PL,1,0,12,69,29,0.0
2016-03-15,RO,118,0,45,51,31,0.0
2016-03-15,SK,37,0,10,69,29,0.0
2016-03-15,UA,11,0,45,7,30,0.0
2016-03-16,BY,1,0,46,8,30,0.0
2016-03-16,HU,9,0,11,1,28,0.0
2016-03-16,MD,42,0,46,8,30,0.0
2016-03-16,PL,5,0,11,70,29,0.0
2016-03-16,RO,118,0,44,52,31,0.0
2016-03-16,SK,34,0,9,70,29,0.0
2016-03-16,UA,11,0,44,8,30,0.0
2016-03-17,BY,1,0,45,9,30,0.0
2016-03-17,HU,9,0,10,2,28,0.0
2016-03-17,MD,42,0,45,9,30,0.0
2016-03-17,PL,2,0,10,71,29,0.0
2016-03-17,RO,117,0,43,53,31,0.0
2016-03-17,SK,30,0,8,71,29,0.0
2016-03-17,UA,11,0,43,9,30,0.0
2016-03-18,BY,1,0,44,10,30,0.0
2016-03-18,HU,9,0,9,3,28,0.0
2016-03-18,MD,42,0,44,10,30,0.0
2016-03-18,PL,4,0,9,72,29,0.0
2016-03-18,RO,117,0,42,54,31,0.0
2016-03-18,SK,26,0,7,72,29,0.0
2016-03-18,UA,11,0,42,10,30,0.0
2016-03-19,BY,1,0,43,11,30,0.0
2016-03-19,HU,9,0,8,4,28,0.0
2016-03-19,MD,42,0,43,11,30,0.0
2016-03-19,PL,2,0,8,73,29,0.0
2016-03-19,RO,116,0,41,55,31,0.0
2016-03-19,SK,23,0,6,73,29,0.0
2016-03-19,UA,11,0,41,11,30,0.0
2016-03-20,BY,1,0,42,12,30,0.0
2016-03-20,HU,9,0,7,5,28,0.0
2016-03-20,MD,42,0,42,12,30,0.0
2016-03-20,PL,4,0,7,74,29,0.0
2016-03-20,RO,116,0,40,56,31,0.0
2016-03-20,SK,19,0,5,74,29,0.0
2016-03-20,UA,11,0,40,12,30,0.0
2016-03-21,BY,1,0,41,13,30,0.0
2016-03-21,HU,9,0,6,6,28,0.0
2016-03-21,MD,42,0,41,13,30,0.0
2016-03-21,PL,2,0,6,75,29,0.0
2016-03-21,RO,116,0,39,57,31,0.0
2016-03-21,SK,15,0,4,75,29,0.0
2016-03-21,UA,11,0,39,13,30,0.0
2016-03-22,BY,1,0,40,14,30,0.0
2016-03-22,HU,9,0,5,7,28,0.0
2016-03-22,MD,42,0,40,14,30,0.0
2016-03-22,PL,5,0,5,76,29,0.0
2016-03-22,RO,115,0,38,58,31,0.0
2016-03-22,SK,12,0,3,76,29,0.0
2016-03-22,UA,11,0,38,14,30,0.0
2016-03-23,BY,1,0,39,15,30,0.0
2016-03-23,HU,9,0,4,8,28,0.0
2016-03-23,MD,42,0,39,15,30,0.0
2016-03-23,PL,4,0,4,77,29,0.0
2016-03-23,RO,115,0,37,59,31,0.0
2016-03-23,SK,8,0,2,77,29,0.0
2016-03-23,UA,11,0,37,15,30,0.0
2016-03-24,BY,1,0,38,16,30,0.0
2016-03-24,HU,9,0,3,9,28,0.0
2016-03-24,MD,42,0,38,16,30,0.0
2016-03-24,PL,3,0,3,78,29,0.0
2016-03-24,RO,114,0,36,60,31,0.0
2016-03-24,SK,4,0,1,78,29,0.0
2016-03-24,UA,11,0,36,16,30,0.0
2016-03-25,BY,1,0,37,17,30,0.0
2016-03-25,HU,9,0,2,10,28,0.0
2016-03-25,MD,42,0,37,17,30,0.0
2016-03-25,PL,6,0,2,79,29,0.0
2016-03-25,RO,114,0,35,61,31,0.0
2016-03-25,SK,1,1,3,79,29,0.0
2016-03-25,UA,11,0,35,17,30,0.0
2016-03-26,BY,1,0,36,18,30,0.0
2016-03-26,HU,9,0,1,11,28,0.0
2016-03-26,MD,42,0,36,18,30,0.0
2016-03-26,PL,1,0,1,80,29,0.0
2016-03-26,RO,113,0,34,62,31,0.0
2016-03-26,SK,1,0,2,1,29,0.0
2016-03-26,UA,11,0,34,18,30,0.0
2016-03-27,BY,1,0,35,19,30,0.0
2016-03-27,HU,9,1,1,12,28,0.0
2016-03-27,MD,42,0,35,19,30,0.0
2016-03-27,PL,3,1,1,81,29,0.0
2016-03-27,RO,113,0,33,63,31,0.0
2016-03-27,SK,1,0,1,2,29,0.0
2016-03-27,UA,11,0,33,19,30,0.0
2016-03-28,BY,1,0,34,20,30,0.0
2016-03-28,HU,9,1,34,1,28,0.0
2016-03-28,MD,42,0,34,20,30,0.0
2016-03-28,PL,5,1,34,1,29,0.0
2016-03-28,RO,112,0,32,64,31,0.0
2016-03-28,SK,1,1,34,3,29,0.0
2016-03-28,UA,11,0,32,20,30,0.0
2016-03-29,BY,1,0,33,21,30,0.0
2016-03-29,HU,9,0,33,1,28,0.0
2016-03-29,MD,42,0,33,21,30,0.0
2016-03-29,PL,8,0,33,1,29,0.0
2016-03-29,RO,112,0,31,65,31,0.0
2016-03-29,SK,1,0,33,1,29,0.0
2016-03-29,UA,11,0,31,21,30,0.0
2016-03-30,BY,1,0,32,22,30,0.0
2016-03-30,HU,9,0,32,2,28,0.0
2016-03-30,MD,42,0,32,22,30,0.0
2016-03-30,PL,4,0,32,2,29,0.0
2016-03-30,RO,111,0,30,66,31,0.0
2016-03-30,SK,1,0,32,2,29,0.0
2016-03-30,UA,10,0,30,22,30,0.0
2016-03-31,BY,1,0,31,23,30,0.0
2016-03-31,HU,9,0,31,3,28,0.0
2016-03-31,MD,42,0,31,23,30,0.0
2016-03-31,PL,9,0,31,3,29,0.0
2016-03-31,RO,111,0,29,67,31,0.0
2016-03-31,SK,1,0,31,3,29,0.0
2016-03-31,UA,10,0,29,23,30,0.0
2016-04-01,BY,1,0,30,24,30,0.0
2016-04-01,HU,9,0,30,4,30,0.0
2016-04-01,MD,42,0,30,24,30,0.0
2016-04-01,PL,2,0,30,4,30,0.0
2016-04-01,RO,111,0,28,68,29,0.0
2016-04-01,SK,1,0,30,4,30,0.0
2016-04-01,UA,10,0,28,24,29,0.0
2016-04-02,BY,1,0,29,25,30,0.0
2016-04-02,HU,9,0,29,5,30,0.0
2016-04-02,MD,41,0,29,25,30,0.0
2016-04-02,PL,1,0,29,5,30,0.0
